20260717_224504: query오류시 멈춤
20260718_095602: 7
20260719_074507: dbd_admin
20260719_074525: dbd_admin
20260719_074538: dbd_admin
20260719_074602: dbd_admin
20260719_081545: init
20260719_081730: init
20260719_081837: init
20260719_082111: init
20260719_082432: init
20260719_082534: init
20260719_082745: test
20260719_082835: test
20260719_082955: test
20260719_083136: test
20260719_083358: init
20260719_084018: test
20260719_084122: test
20260719_084249: test
20260719_084416: test
20260719_084702: test
20260719_084712: init
20260719_090705: xxx_process_list.cfg
20260719_090749: init
20260719_090837: start
20260719_090902: test
